station,date,is_magnetic_storm,h_mean,h_std,d_mean,d_std,z_mean,z_std,h_pc3_std,d_pc3_std,z_pc3_std,spectrogram_files,spectrogram_paths,azimuth,magnitude,azimuth_class,magnitude_class
SCN,2018-01-17,False,39904.875501504626,12.448835332567548,-1983.2282249999998,6.651442447975239,-15379.323068865742,6.440106264930015,0.014438417417981915,0.007887426271915516,0.006965645144405735,"{'H': 'SCN_20180117_H_spec.png', 'D': 'SCN_20180117_D_spec.png', 'Z': 'SCN_20180117_Z_spec.png', '3comp': 'SCN_20180117_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180117_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\S\\SCN_20180117_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180117_3comp_spec.png'}",195.0,5.0,S,Medium
SCN,2018-01-25,False,39894.12942939815,17.584971069421083,-1982.367179513889,10.597672095214223,-15373.58597824074,7.095823063148348,0.03285483438029102,0.013422947346045856,0.014253836842986473,"{'H': 'SCN_20180125_H_spec.png', 'D': 'SCN_20180125_D_spec.png', 'Z': 'SCN_20180125_Z_spec.png', '3comp': 'SCN_20180125_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180125_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\NW\\SCN_20180125_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180125_3comp_spec.png'}",320.0,5.2,NW,Medium
MLB,2018-02-01,False,41793.015330733,8.423957796421716,-8.971567379252074,5.3419886388795375,-6138.792860565516,10.630339043221332,0.039597019658262386,0.021457264588289577,0.009544599742259895,"{'H': 'MLB_20180201_H_spec.png', 'D': 'MLB_20180201_D_spec.png', 'Z': 'MLB_20180201_Z_spec.png', '3comp': 'MLB_20180201_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\MLB_20180201_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\NW\\MLB_20180201_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\MLB_20180201_3comp_spec.png'}",301.0,5.2,NW,Medium
MLB,2018-03-22,False,41804.3465943287,17.336768186770563,-4.369517708333333,6.596783100534426,-6127.994502893519,10.307246252440125,0.046871791663915224,0.015390977764934128,0.00906969006844549,"{'H': 'MLB_20180322_H_spec.png', 'D': 'MLB_20180322_D_spec.png', 'Z': 'MLB_20180322_Z_spec.png', '3comp': 'MLB_20180322_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\MLB_20180322_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\SW\\MLB_20180322_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\MLB_20180322_3comp_spec.png'}",212.0,5.6,SW,Medium
MLB,2018-05-12,False,41796.14158101852,9.8167179533376,-14.564002430555556,9.436266489549753,-6121.028655787037,7.404745031405793,0.028457670674427997,0.015017088939270198,0.007480423207490609,"{'H': 'MLB_20180512_H_spec.png', 'D': 'MLB_20180512_D_spec.png', 'Z': 'MLB_20180512_Z_spec.png', '3comp': 'MLB_20180512_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\MLB_20180512_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\N\\MLB_20180512_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\MLB_20180512_3comp_spec.png'}",348.0,5.0,N,Medium
SCN,2018-07-07,False,40513.38595034723,11.461211190604452,0.6167315972222224,4.795349131285741,-13773.340216782408,4.032475420466042,0.02846210570842153,0.009617339403529941,0.010612218657295718,"{'H': 'SCN_20180707_H_spec.png', 'D': 'SCN_20180707_D_spec.png', 'Z': 'SCN_20180707_Z_spec.png', '3comp': 'SCN_20180707_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180707_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\SE\\SCN_20180707_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180707_3comp_spec.png'}",145.0,5.2,SE,Medium
MLB,2018-07-15,False,41829.774065625,14.585347358930033,28.29077037037037,8.060197587789935,-6111.657001157407,8.422129975766381,0.021378032675003905,0.014238703583449955,0.006605996514396093,"{'H': 'MLB_20180715_H_spec.png', 'D': 'MLB_20180715_D_spec.png', 'Z': 'MLB_20180715_Z_spec.png', '3comp': 'MLB_20180715_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\MLB_20180715_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\S\\MLB_20180715_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\MLB_20180715_3comp_spec.png'}",166.0,5.0,S,Medium
SCN,2018-07-19,False,40519.99966631945,13.474319492316424,-3.7697679398148143,4.129134079711073,-13766.873445601852,6.735377472515725,0.02352795689878124,0.008615110993375514,0.008648485619237176,"{'H': 'SCN_20180719_H_spec.png', 'D': 'SCN_20180719_D_spec.png', 'Z': 'SCN_20180719_Z_spec.png', '3comp': 'SCN_20180719_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180719_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\SW\\SCN_20180719_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180719_3comp_spec.png'}",203.0,5.0,SW,Medium
SCN,2018-07-23,False,40518.80679837963,9.663891028093584,-5.442827893518519,4.649696935017269,-13762.766954398146,4.427160103883809,0.029494751574387593,0.008966261465961049,0.010598893203062926,"{'H': 'SCN_20180723_H_spec.png', 'D': 'SCN_20180723_D_spec.png', 'Z': 'SCN_20180723_Z_spec.png', '3comp': 'SCN_20180723_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180723_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\S\\SCN_20180723_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180723_3comp_spec.png'}",177.0,5.8,S,Medium
SCN,2018-08-04,False,40527.22947222222,11.503895515101684,-3.7857083333333343,6.5068225057203675,-13759.640230671297,4.988870078576024,0.04503259833763119,0.013097260293499067,0.016626477106635357,"{'H': 'SCN_20180804_H_spec.png', 'D': 'SCN_20180804_D_spec.png', 'Z': 'SCN_20180804_Z_spec.png', '3comp': 'SCN_20180804_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180804_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\SW\\SCN_20180804_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180804_3comp_spec.png'}",210.0,5.4,SW,Medium
SCN,2018-08-25,False,40531.90624803241,20.206881891983773,-6.186666087962962,11.217647250747657,-13756.483220370374,3.2230945385882843,0.03804873905140738,0.012141171587785821,0.014335672236553295,"{'H': 'SCN_20180825_H_spec.png', 'D': 'SCN_20180825_D_spec.png', 'Z': 'SCN_20180825_Z_spec.png', '3comp': 'SCN_20180825_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180825_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\S\\SCN_20180825_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180825_3comp_spec.png'}",171.0,5.4,S,Medium
SCN,2018-08-18,False,40509.44124224537,18.830180227192177,-2.6124565972222222,3.964277947144148,-13761.151109722221,2.7336647537891645,0.03790688149026202,0.00994996226203454,0.013101560200414655,"{'H': 'SCN_20180818_H_spec.png', 'D': 'SCN_20180818_D_spec.png', 'Z': 'SCN_20180818_Z_spec.png', '3comp': 'SCN_20180818_3comp_spec.png'}","{'main': 'dataset_spectrogram\\spectrograms\\SCN_20180818_3comp_spec.png', 'azimuth_folder': 'dataset_spectrogram\\spectrograms\\by_azimuth\\S\\SCN_20180818_3comp_spec.png', 'magnitude_folder': 'dataset_spectrogram\\spectrograms\\by_magnitude\\Medium\\SCN_20180818_3comp_spec.png'}",170.0,5.2,S,Medium
