station,date,hour,azimuth,magnitude,azimuth_class,magnitude_class,h_mean,h_std,d_mean,d_std,z_mean,z_std,h_pc3_std,d_pc3_std,z_pc3_std,samples,spectrogram_file,image_size,data_source,file_format,file_size_bytes,compression_ratio
SCN,2018-01-17,19,195.0,5.0,S,Medium,37549.54627777778,964.6683279745723,-94.29158333333328,1283.2808160677432,31612.120222222227,1093.5529395059818,96.43391321023029,133.6672258577542,101.29151790369073,3600,SCN_20180117_H19_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,404085,3.6455770444337205
SCN,2018-01-25,1,320.0,5.2,NW,Medium,37869.74138888889,931.4363544418103,-684.0328611111113,1857.8961670770498,31787.888499999997,1056.9363082098157,107.3102752640639,342.72664252889786,135.04606769386552,3600,SCN_20180125_H01_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,436101,3.377939972621021
MLB,2018-02-01,4,301.0,5.2,NW,Medium,38451.11027777778,1578.3907572376543,-69.24908333333329,1726.0827424689583,31928.22663888889,1309.2502870828332,635.599639395038,297.288440162997,153.88434098891895,3600,MLB_20180201_H04_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,368980,3.9924196433411026
SCN,2018-03-11,19,156.0,5.2,SE,Medium,38273.84422222223,1045.243198231852,58.95011111111115,1045.6846946405706,32344.08152777778,773.0712430123538,121.17500314852471,118.98686613145676,90.22495516519776,3600,SCN_20180311_H19_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),stn,1473123,1.0
MLB,2018-03-22,16,212.0,5.6,SW,Medium,38227.51983333333,790.388200057397,1064.2849444444446,1364.149896956993,31895.216749999996,1273.1306459101315,452.7689141213413,125.04394824172492,389.0550337491193,3600,MLB_20180322_H16_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,384345,3.832814268430707
SCN,2018-04-26,20,148.0,5.4,SE,Medium,37651.18477777777,1875.9562006618432,-112.5639444444445,1895.497106453138,31909.932277777774,1605.1369574284283,213.90655743994935,218.1395492388755,138.4772284694499,3600,SCN_20180426_H20_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),stn,1473123,1.0
MLB,2018-05-12,18,348.0,5.0,N,Medium,37997.78966666667,1041.8195222696258,-641.5065833333334,1764.9752640691893,32283.842472222223,1089.1701966094288,114.145707610378,137.18918871043041,139.80710538848672,3600,MLB_20180512_H18_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,371593,3.964345399402034
SCN,2018-07-07,8,145.0,5.2,SE,Medium,38203.60847222222,1041.7861551536805,-656.7008333333333,932.3315818654595,32305.35525,963.754031229611,105.19510045980591,109.36899459437004,106.32407114465641,3600,SCN_20180707_H08_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,476930,3.0887614534627725
MLB,2018-07-15,13,166.0,5.0,S,Medium,37745.153333333335,749.1293141744992,286.12558333333345,1858.7908351678052,31737.385833333334,683.133524531035,89.26123466249543,182.52829350211525,88.00478755756257,3600,MLB_20180715_H13_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,422121,3.489812162863255
SCN,2018-07-19,11,203.0,5.0,SW,Medium,38537.82463888889,1440.9352983069066,-620.4490555555556,1380.1218312744056,32923.92811111112,1528.6654910842954,184.0052444113996,205.76718859522225,186.65455004094716,3600,SCN_20180719_H11_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,470146,3.1333309227346398
SCN,2018-07-23,18,177.0,5.8,S,Medium,37239.11441666666,1291.9299488364272,599.5690833333334,1811.0651869310516,31203.620611111113,1396.6747064536553,155.70455856618713,345.286684639435,137.70745258293815,3600,SCN_20180723_H18_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,486187,3.0299514384382964
SCN,2018-08-04,7,210.0,5.4,SW,Medium,37925.79233333334,1540.6720118045534,-683.6155833333333,1563.4297225380787,31719.633583333336,1330.298210735491,645.4533909523332,252.98754078950205,309.8645760209332,3600,SCN_20180804_H07_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,495971,2.9701797080877714
SCN,2018-08-25,23,171.0,5.4,S,Medium,38482.05986111111,649.3573094157395,-386.6303055555556,1086.464944692401,32464.799916666663,809.7569775607537,68.2898929523137,199.6728236150148,91.22989954149227,3600,SCN_20180825_H23_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,507102,2.904983612764296
MLB,2018-09-09,9,38.0,5.2,NE,Medium,38028.05275,1421.205086292456,-187.01311111111113,1023.9405363894099,32060.128333333334,1052.7907356627063,344.79013775030614,348.89940223379597,171.36418972516543,3600,MLB_20180909_H09_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,405757,3.630554740891716
MLB,2018-10-01,7,133.0,5.0,SE,Medium,38632.87488888889,1451.1960328687085,938.9076111111111,1568.9399125127145,32713.978999999996,1300.1467709810047,315.0662317087898,346.1739714485817,269.5470190494487,3600,MLB_20181001_H07_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,464005,3.17479984051896
SCN,2018-10-29,8,325.0,4.9,NW,Moderate,38162.56861111111,631.9967878770894,-167.9649444444445,1341.4226297040836,32139.228638888886,1224.3547892004779,73.27276088353385,166.3463081538867,135.6224223336141,3600,SCN_20181029_H08_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,475952,3.09510833025179
SCN,2018-11-20,9,164.0,4.7,S,Moderate,37855.73541666667,1111.0630046409476,-521.79,1153.3771996474818,32210.832222222223,984.3781528968516,163.58518554304408,262.4505727952027,124.55967137431989,3600,SCN_20181120_H09_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,483586,3.0462482371284527
SCN,2018-12-08,11,235.0,5.6,SW,Medium,37979.8375,1413.0056488168034,-76.7798055555556,928.9410387284282,32212.7375,1462.9325831278363,161.93669035926155,117.74998244712431,182.12692343688124,3600,SCN_20181208_H11_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,503829,2.9238551175101075
MLB,2018-12-08,11,262.0,5.6,W,Medium,38278.114833333326,1445.9224469067697,156.41080555555558,1233.550891839587,32622.725833333334,1539.8818211651376,200.67971925925167,153.62118902938417,256.2595945864714,3600,MLB_20181208_H11_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,389761,3.779554650157404
SBG,2018-12-16,18,132.0,4.9,SE,Moderate,37566.614166666666,1123.4259350998009,-550.1998055555556,1250.8301216381003,31667.24033333333,1513.2822893248742,138.917260568757,162.49852452308974,215.41908742125958,3600,SBG_20181216_H18_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,379505,3.8816958933347387
MJB,2018-12-12,14,228.0,4.9,SW,Moderate,38098.47330555555,1478.485277372369,568.7598055555557,1159.2969621970924,32846.72913888889,1222.6017696441618,602.3791382825243,284.7214808091172,529.6144260603193,3600,MJB_20181212_H14_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,400608,3.677218128444764
SCN,2018-12-24,22,210.0,5.5,SW,Medium,38046.332388888884,668.0749094690439,-270.68572222222224,1326.1168637339165,32626.663472222222,1042.0485782511132,98.1225785953527,154.48111510647297,88.14617168845005,3600,SCN_20181224_H22_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,491804,2.9953457068262965
SCN,2019-01-22,1,258.0,5.0,W,Medium,37561.69252777778,914.6092490191578,778.764,1660.4036404904682,31449.954500000003,1169.4386643227954,125.09828253810005,298.28908536725044,215.04089680645586,3600,SCN_20190122_H01_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,502520,2.9314713842235136
MJB,2019-03-02,22,201.0,5.3,S,Medium,37737.375972222224,1260.0801997152137,156.11919444444453,1634.7698902312134,32326.55319444445,921.3523723104084,280.0459313198423,194.43576325362758,378.13343555153426,3600,MJB_20190302_H22_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,488764,3.0139760702506733
SCN,2019-05-12,14,262.0,5.1,W,Medium,38458.47686111111,986.3131821646784,-404.86841666666675,1148.2723557901836,32142.991722222225,1449.7540369790436,118.01905039266342,157.64063750702618,168.47587974537885,3600,SCN_20190512_H14_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,491183,2.999132706140074
MJB,2019-06-06,6,176.0,5.4,S,Medium,38025.200833333336,1146.5739434115953,-223.39602777777782,1023.3395846081046,32373.467305555554,1575.4538052064256,158.14388571488792,199.82334655202118,181.98644226838624,3600,MJB_20190606_H06_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,425473,3.4623184079835854
SCN,2019-06-06,12,172.0,5.3,S,Medium,38451.30744444445,1386.9388905107708,-223.82041666666674,815.4426947045689,31952.728166666668,1422.00910088351,180.4599919252431,127.58931455366518,133.24848858496242,3600,SCN_20190606_H12_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,474205,3.1065108971858164
SBG,2019-12-22,13,160.0,5.2,S,Medium,38008.924305555556,693.2958166819449,394.20869444444446,984.1733103808868,32022.049333333336,1121.7054288991285,212.60921765853556,248.11809386337853,266.9465886824593,3600,SBG_20191222_H13_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,378295,3.894111738193738
YOG,2018-12-29,10,251.0,5.0,W,Medium,37311.696055555556,1342.474320803856,381.6607500000001,1457.9341285573282,31280.655611111113,1387.6548768822825,192.03220517836945,173.0549285296441,110.6901727647984,3600,YOG_20181229_H10_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),stn,1473123,1.0
YOG,2019-01-17,10,119.0,5.0,SE,Medium,37245.21730555556,1029.5280231915156,871.335388888889,1286.0001814143054,31429.12163888889,835.5049974257635,221.259763418009,168.37650947845063,167.81551021569692,3600,YOG_20190117_H10_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,432385,3.4069706395920303
YOG,2019-02-10,2,127.0,5.0,SE,Medium,37751.14200000001,1016.8009784708777,597.4909166666666,1098.8739301152511,32273.150416666667,1509.3595961918727,287.98462786708143,114.03523589558561,534.8211306101006,3600,YOG_20190210_H02_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,378360,3.893442752933714
YOG,2019-02-16,14,113.0,5.3,SE,Medium,38911.97213888889,1617.691220439688,95.31152777777781,1057.3417772481766,33572.46169444444,1516.3723519735865,261.50033709702,209.95166349807877,358.5503387516413,3600,YOG_20190216_H14_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,360864,4.0822110268688485
YOG,2019-06-08,13,241.0,5.2,SW,Medium,37984.194916666675,1486.5686216882316,1128.6459444444445,1140.453875152441,31772.371472222225,1273.0100606415097,641.5771678016788,156.0820691904639,600.992317365155,3600,YOG_20190608_H13_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,373967,3.9391791254308535
YOG,2019-06-12,3,239.0,5.0,SW,Medium,38443.92888888889,1782.9760640675051,7.904611111111104,1223.5611434710042,31986.50491666667,1406.7378111987969,238.14135658724283,164.7549440296487,199.6473862884865,3600,YOG_20190612_H03_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,359307,4.099900642069317
YOG,2019-06-29,16,240.0,5.0,SW,Medium,38264.380305555555,1321.195715863061,433.13125,1315.8334535163947,31843.106555555558,794.0150047185101,363.00451630982104,147.56104029007943,113.19768697529712,3600,YOG_20190629_H16_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,355651,4.142046556877388
YOG,2019-08-18,16,140.0,5.3,SE,Medium,37362.00369444445,1099.3031940608844,248.046388888889,1565.7931180389287,31685.304583333338,1021.3097636388252,126.67668238447128,158.42912555645404,135.12839528809428,3600,YOG_20190818_H16_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,366563,4.018744390459484
YOG,2019-09-11,9,240.0,5.2,SW,Medium,37946.002916666665,1314.4924269338683,81.9258333333333,952.8796937904568,32143.804166666665,742.9660972371153,233.65247420233493,386.00174708918985,74.43130342135748,3600,YOG_20190911_H09_3comp_spec.png,224x224,SSH Server v2.2 (Dual Format),gz,359224,4.100847938890498
