path,predictor,outcome,beta,se,t,p,n,R2,label
mean_prior_alignment_z ~ days_before_z,days_before_z,mean_prior_alignment_z,0.0,0.0,0.0,1.0,958,1.0,all
mean_prior_alignment_z ~ magnitude_z,magnitude_z,mean_prior_alignment_z,0.0,0.0,0.0,1.0,958,1.0,all
mean_prior_alignment_z ~ depth_z,depth_z,mean_prior_alignment_z,0.0,0.0,0.0,1.0,958,1.0,all
pairwise_spread_z ~ mean_prior_alignment_z,mean_prior_alignment_z,pairwise_spread_z,-0.0,0.0,-0.0,1.0,958,0.0151,all
pairwise_spread_z ~ days_before_z,days_before_z,pairwise_spread_z,0.1228,0.0321,3.819,0.0001,958,0.0151,all
pairwise_spread_z ~ magnitude_z,magnitude_z,pairwise_spread_z,0.0,0.0,0.0,1.0,958,0.0151,all
pairwise_spread_z ~ depth_z,depth_z,pairwise_spread_z,0.0,0.0,0.0,1.0,958,0.0151,all
R_z ~ pairwise_spread_z,pairwise_spread_z,R_z,-0.9911,0.0039,-251.163,0.0,958,0.9854,all
R_z ~ mean_prior_alignment_z,mean_prior_alignment_z,R_z,0.0,0.0,0.0,1.0,958,0.9854,all
R_z ~ days_before_z,days_before_z,R_z,-0.0124,0.0039,-3.132,0.0018,958,0.9854,all
R_z ~ magnitude_z,magnitude_z,R_z,0.0,,,,958,0.9854,all
R_z ~ depth_z,depth_z,R_z,0.0,0.0,0.0,1.0,958,0.9854,all
mean_prior_alignment_z ~ days_before_z,days_before_z,mean_prior_alignment_z,-0.0,0.0,-0.0,1.0,536,1.0,shallow
mean_prior_alignment_z ~ magnitude_z,magnitude_z,mean_prior_alignment_z,-0.0,0.0,-0.0,1.0,536,1.0,shallow
mean_prior_alignment_z ~ depth_z,depth_z,mean_prior_alignment_z,0.0,0.0,0.0,1.0,536,1.0,shallow
pairwise_spread_z ~ mean_prior_alignment_z,mean_prior_alignment_z,pairwise_spread_z,-0.0,0.0,-0.0,1.0,536,0.0193,shallow
pairwise_spread_z ~ days_before_z,days_before_z,pairwise_spread_z,0.1391,0.043,3.236,0.0013,536,0.0193,shallow
pairwise_spread_z ~ magnitude_z,magnitude_z,pairwise_spread_z,0.0,0.0,0.0,1.0,536,0.0193,shallow
pairwise_spread_z ~ depth_z,depth_z,pairwise_spread_z,0.0,0.0,0.0,1.0,536,0.0193,shallow
R_z ~ pairwise_spread_z,pairwise_spread_z,R_z,-0.9908,0.0049,-203.555,0.0,536,0.9877,shallow
R_z ~ mean_prior_alignment_z,mean_prior_alignment_z,R_z,0.0,0.0,0.0,1.0,536,0.9877,shallow
R_z ~ days_before_z,days_before_z,R_z,-0.02,0.0049,-4.104,0.0,536,0.9877,shallow
R_z ~ magnitude_z,magnitude_z,R_z,0.0,,,,536,0.9877,shallow
R_z ~ depth_z,depth_z,R_z,0.0,0.0,0.0,1.0,536,0.9877,shallow
mean_prior_alignment_z ~ days_before_z,days_before_z,mean_prior_alignment_z,0.0,0.0,0.0,1.0,422,1.0,deep
mean_prior_alignment_z ~ magnitude_z,magnitude_z,mean_prior_alignment_z,-0.0,0.0,-0.0,1.0,422,1.0,deep
mean_prior_alignment_z ~ depth_z,depth_z,mean_prior_alignment_z,0.0,0.0,0.0,1.0,422,1.0,deep
pairwise_spread_z ~ mean_prior_alignment_z,mean_prior_alignment_z,pairwise_spread_z,0.0,,,,422,0.0101,deep
pairwise_spread_z ~ days_before_z,days_before_z,pairwise_spread_z,0.1007,0.0487,2.067,0.0394,422,0.0101,deep
pairwise_spread_z ~ magnitude_z,magnitude_z,pairwise_spread_z,-0.0,,,,422,0.0101,deep
pairwise_spread_z ~ depth_z,depth_z,pairwise_spread_z,0.0,0.0,0.0,1.0,422,0.0101,deep
R_z ~ pairwise_spread_z,pairwise_spread_z,R_z,-0.9909,0.0065,-151.492,0.0,422,0.9824,deep
R_z ~ mean_prior_alignment_z,mean_prior_alignment_z,R_z,0.0,0.0,0.0,1.0,422,0.9824,deep
R_z ~ days_before_z,days_before_z,R_z,-0.0023,0.0065,-0.354,0.7236,422,0.9824,deep
R_z ~ magnitude_z,magnitude_z,R_z,-0.0,,,,422,0.9824,deep
R_z ~ depth_z,depth_z,R_z,0.0,0.0,0.0,1.0,422,0.9824,deep
