n_stations,stations,scheme,mce,acc_30,acc_45,R,operational_grade
1,SKB,uniform,40.537,0.615,0.74,0.9968,False
1,SKB,inverse_mce,40.198,0.62,0.75,0.9977,False
1,SKB,exponential,40.552,0.61,0.735,0.9987,False
1,SKB,rank,40.366,0.61,0.745,0.9992,False
1,SKB,soft_max,40.504,0.6,0.76,0.9975,False
2,"SKB,TRT",uniform,32.525,0.65,0.795,0.9993,False
2,"SKB,TRT",inverse_mce,32.75,0.65,0.79,0.999,False
2,"SKB,TRT",exponential,32.628,0.66,0.795,0.9982,False
2,"SKB,TRT",rank,32.799,0.66,0.79,0.9996,False
2,"SKB,TRT",soft_max,32.554,0.655,0.785,0.9985,False
3,"SKB,TRT,SRG",uniform,30.784,0.77,0.825,0.9944,False
3,"SKB,TRT,SRG",inverse_mce,30.657,0.78,0.82,0.9947,False
3,"SKB,TRT,SRG",exponential,30.816,0.775,0.825,0.9956,False
3,"SKB,TRT,SRG",rank,30.795,0.76,0.825,0.9958,False
3,"SKB,TRT,SRG",soft_max,30.588,0.775,0.825,0.9947,False
4,"SKB,TRT,SRG,KPY",uniform,27.794,0.805,0.855,0.9886,True
4,"SKB,TRT,SRG,KPY",inverse_mce,27.703,0.8,0.85,0.9876,True
4,"SKB,TRT,SRG,KPY",exponential,27.779,0.795,0.855,0.9867,True
4,"SKB,TRT,SRG,KPY",rank,27.45,0.785,0.83,0.9864,True
4,"SKB,TRT,SRG,KPY",soft_max,27.675,0.8,0.855,0.99,True
5,"SKB,TRT,SRG,KPY,LPS",uniform,29.35,0.815,0.865,0.99,True
5,"SKB,TRT,SRG,KPY,LPS",inverse_mce,29.177,0.82,0.865,0.9888,True
5,"SKB,TRT,SRG,KPY,LPS",exponential,29.245,0.82,0.865,0.9899,True
5,"SKB,TRT,SRG,KPY,LPS",rank,28.843,0.805,0.855,0.9879,True
5,"SKB,TRT,SRG,KPY,LPS",soft_max,29.231,0.82,0.865,0.9867,True
6,"SKB,TRT,SRG,KPY,LPS,SCN",uniform,29.532,0.835,0.865,0.9785,True
6,"SKB,TRT,SRG,KPY,LPS,SCN",inverse_mce,29.296,0.83,0.865,0.9772,True
6,"SKB,TRT,SRG,KPY,LPS,SCN",exponential,29.41,0.835,0.865,0.9795,True
6,"SKB,TRT,SRG,KPY,LPS,SCN",rank,28.425,0.82,0.865,0.9805,True
6,"SKB,TRT,SRG,KPY,LPS,SCN",soft_max,29.279,0.83,0.865,0.9821,True
7,"SKB,TRT,SRG,KPY,LPS,SCN,LWA",uniform,29.143,0.85,0.875,0.9809,True
7,"SKB,TRT,SRG,KPY,LPS,SCN,LWA",inverse_mce,29.072,0.84,0.875,0.9816,True
7,"SKB,TRT,SRG,KPY,LPS,SCN,LWA",exponential,28.922,0.845,0.875,0.9832,True
7,"SKB,TRT,SRG,KPY,LPS,SCN,LWA",rank,28.092,0.835,0.865,0.9782,True
7,"SKB,TRT,SRG,KPY,LPS,SCN,LWA",soft_max,28.92,0.845,0.87,0.9811,True
8,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR",uniform,31.908,0.815,0.855,0.9374,False
8,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR",inverse_mce,31.912,0.81,0.855,0.9387,False
8,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR",exponential,32.022,0.815,0.855,0.9384,False
8,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR",rank,31.483,0.81,0.85,0.9321,False
8,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR",soft_max,32.17,0.81,0.855,0.9374,False
9,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP",uniform,29.969,0.8,0.855,0.9334,True
9,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP",inverse_mce,30.098,0.81,0.855,0.9317,False
9,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP",exponential,30.123,0.805,0.855,0.9309,False
9,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP",rank,30.032,0.8,0.85,0.9338,False
9,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP",soft_max,30.189,0.81,0.855,0.9363,False
10,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG",uniform,31.143,0.81,0.855,0.9306,False
10,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG",inverse_mce,31.111,0.81,0.855,0.9285,False
10,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG",exponential,31.166,0.81,0.855,0.9267,False
10,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG",rank,30.87,0.8,0.845,0.9264,False
10,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG",soft_max,31.341,0.81,0.85,0.9299,False
11,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO",uniform,30.632,0.815,0.865,0.8879,False
11,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO",inverse_mce,30.358,0.815,0.865,0.8851,False
11,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO",exponential,30.436,0.81,0.865,0.8832,False
11,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO",rank,29.755,0.81,0.85,0.8801,True
11,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO",soft_max,30.428,0.815,0.865,0.8839,False
12,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO,YOG",uniform,30.659,0.825,0.865,0.896,False
12,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO,YOG",inverse_mce,30.498,0.825,0.865,0.8908,False
12,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO,YOG",exponential,30.492,0.825,0.865,0.8944,False
12,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO,YOG",rank,30.018,0.81,0.86,0.9006,False
12,"SKB,TRT,SRG,KPY,LPS,SCN,LWA,ALR,CLP,SBG,GTO,YOG",soft_max,30.397,0.815,0.865,0.8953,False
