station,n_near,n_far,mean_near,mean_far,delta,bootstrap_std,ci_lower,ci_upper,ci_significant
ALR,220,224,0.395486856861548,0.39354047112699064,0.0019463857345573543,0.0010275532325386995,-5.886042188200921e-06,0.003866726157267583,False
CLP,220,224,0.3941809200427749,0.3924677845622812,0.0017131354804936771,0.000985445842463718,-0.00020155045349009855,0.0037327847150819492,False
SRO,220,224,0.39158989732915706,0.39029343679015127,0.0012964605390057837,0.0009559713587976069,-0.0004884293994128429,0.0030974165913830193,False
YOG,220,224,0.39549738277088514,0.39451892261526417,0.0009784601556209749,0.00112026215828956,-0.0012961808578776364,0.0032593131237118934,False
LPS,220,224,0.38900954560800033,0.38825942216707127,0.0007501234409290625,0.0011345221415118647,-0.0014102393138379452,0.003009482756523157,False
SRG,220,224,0.39065671197392726,0.38995731701808317,0.0006993949558440904,0.00114211803703099,-0.0015264315234932641,0.002856265022056561,False
SBG,220,224,0.3910053014755249,0.39046776653932674,0.0005375349361981807,0.0009503514619481759,-0.0013960700082991952,0.0022142972836464397,False
SKB,220,224,0.3894733736460859,0.3891234425827861,0.00034993106329983537,0.0009430457278862764,-0.001478855832141228,0.0022187089601942776,False
SMI,220,224,0.39412023370916194,0.3937789438558476,0.0003412898533143305,0.001201877048759931,-0.0019723249044172413,0.0025151978284362318,False
TNT,220,224,0.3925561636686325,0.39222827553749084,0.0003278881311416515,0.0009270278321180585,-0.001400463763055977,0.0020583496152048425,False
LWK,220,224,0.3956387919458476,0.39536589703389574,0.0002728949119518709,0.0012461825085225695,-0.0022051575874861644,0.0027634847414522608,False
LUT,220,224,0.39023677232590587,0.39042135514318943,-0.00018458281728356285,0.0009474307326377734,-0.0020707648633918802,0.001600710440294023,False
PLU,220,224,0.39320792135867205,0.3934245788093124,-0.00021665745064036734,0.0012216028422588202,-0.0025415905262645756,0.002296982738915087,False
TRD,220,224,0.39137277752161026,0.39158972286220106,-0.00021694534059080173,0.001054431241185857,-0.002329554910735264,0.0017004694906365683,False
SCN,220,224,0.3890968064015562,0.3893993354535529,-0.00030252905199668056,0.0009784757224793818,-0.0020907597029097696,0.0016493401494989885,False
TRT,220,224,0.39305153014985,0.3935234460181424,-0.00047191586829237187,0.001100845631329931,-0.002600723921091509,0.0016710888419615038,False
GSI,220,224,0.3893570815975016,0.3900186004383223,-0.0006615188408207184,0.0010495403465520194,-0.0026800463258518717,0.0013451299089454537,False
AMB,220,224,0.3923374954949726,0.3930868715313928,-0.000749376036420224,0.0010245814945284363,-0.002450007760909392,0.0012875757231558536,False
KPY,220,224,0.39042754620313647,0.39136518391647507,-0.0009376377133386016,0.0009395432442237432,-0.0026874847506935,0.0008723313266459734,False
JYP,220,224,0.39038846208290623,0.391381829178759,-0.000993367095852793,0.0010116441357807017,-0.0027903540184503776,0.000962856280520627,False
MLB,220,224,0.39353172264315867,0.39461623824068476,-0.0010845155975260923,0.0012096302430946498,-0.0035082251258654234,0.0011843868172062403,False
TND,220,224,0.3960355136882175,0.39712886951331583,-0.001093355825098341,0.0011830598275036413,-0.0035299174597051117,0.0013737683535807606,False
LWA,220,224,0.39204190955920654,0.3932993420000587,-0.0012574324408521909,0.0011101459867761331,-0.003434461842399902,0.0008393102770598693,False
GTO,220,224,0.3896571695804596,0.39113915831382784,-0.0014819887333682447,0.001098696036775014,-0.003491901126569277,0.0007219354308198073,False
