station,n_samples,mean_prob,std_prob,cv,bootstrap_std,reliability,stability_class
LUT,832,0.39090318899028575,0.009610529691591891,0.024585447144639998,0.000342189651839259,0.9727556968968375,HIGH_STABILITY
KPY,832,0.3915251051433958,0.009936807545657575,0.025379745551739847,0.0003446736852193055,0.9719812010120719,HIGH_STABILITY
TNT,832,0.39302125927777243,0.010117075715427597,0.025741802705581466,0.00035896294672729763,0.9715043850250081,HIGH_STABILITY
CLP,832,0.392780907631207,0.01041186458515055,0.026508072013842744,0.0003590057647366572,0.9707812986019999,HIGH_STABILITY
SRO,832,0.3912163856081091,0.0104751784030405,0.026775919384761503,0.00035660636929606224,0.9705515415502259,HIGH_STABILITY
SKB,832,0.38966669704621804,0.010435106026192057,0.02677956855254263,0.00036308190446375526,0.9704871108024306,HIGH_STABILITY
SCN,832,0.38900721255833137,0.010622430611817153,0.02730651326991611,0.00036846717198196207,0.9699403977056853,HIGH_STABILITY
SBG,832,0.39097979471374017,0.010780289470078355,0.02757249764779086,0.00035041845109707275,0.9698599699745936,HIGH_STABILITY
GSI,832,0.3893832549309501,0.01071643206361306,0.027521553451273658,0.00037435154915442303,0.9696828003930468,HIGH_STABILITY
JYP,832,0.3910417532405028,0.010868080013018172,0.02779263319826097,0.0003759606091223492,0.9694128536706806,HIGH_STABILITY
TRD,832,0.39176706586462945,0.010884491067621191,0.027783068093279184,0.00038706246337892326,0.9693175210342193,HIGH_STABILITY
ALR,832,0.3947607669979334,0.011438783201800144,0.028976494520439582,0.0004116383591814781,0.9679671800925351,HIGH_STABILITY
AMB,832,0.3924895404264904,0.011576081539238276,0.02949398734717713,0.00041243669634931677,0.9674750799746675,HIGH_STABILITY
TRT,832,0.392812605195034,0.011882621840231039,0.03025010318681408,0.00038636277534126354,0.9670116255885993,MODERATE_STABILITY
YOG,832,0.39595541562168646,0.012005938785439457,0.030321441030397394,0.000399595704299513,0.9668212116152016,MODERATE_STABILITY
GTO,832,0.3904895882408779,0.011822628860176812,0.030276425329127825,0.00041105199457136245,0.9667562072086043,MODERATE_STABILITY
LWA,832,0.3924780887408325,0.011903240416566024,0.03032842025590418,0.0004092621578144058,0.966724341015899,MODERATE_STABILITY
SMI,832,0.3937889045247665,0.012268192530314411,0.031154236163966956,0.00042705546682831745,0.9657871907782154,MODERATE_STABILITY
TND,832,0.3962153734710927,0.012590261519239187,0.031776307438403206,0.00042615083687241645,0.9652157331930477,MODERATE_STABILITY
LPS,832,0.38856690341176897,0.012342543894268152,0.031764269642874376,0.00043923115679953906,0.9651050991071093,MODERATE_STABILITY
PLU,832,0.3934141620993614,0.012524916206156369,0.03183646501010569,0.00044185433728737114,0.9650134300054642,MODERATE_STABILITY
LWK,832,0.3951617693170332,0.012853102447057233,0.03252617901086822,0.00045305195410405964,0.9642674324329106,MODERATE_STABILITY
SRG,832,0.39185993638462746,0.012758482373020229,0.03255878233108584,0.000455642116282295,0.9642130369231188,MODERATE_STABILITY
MLB,832,0.3935474271241289,0.012992806307178608,0.03301458836136806,0.00045375270483015705,0.9638070080028294,MODERATE_STABILITY
