station,mce,reliability_rank,latitude,longitude,dist_from_equator_deg,dist_mean_km,dist_std_km,dist_min_km,dist_max_km,dist_cv,geomag_lat_proxy,pred_std,pred_cv,prior_H_bits,prior_kl_from_uniform,prior_peak,prior_peak_bearing_deg,mean_prediction_deg,angular_bias_proxy,tier
SKB,31.34,1,-1.24,116.87,1.24,1334.5,461.8,289.3,2681.8,0.3461,12.69,3.96,0.055,7.5497,0.9422,0.012758,76.0,71.97,4.03,BEST
TRT,31.67,2,-2.95,104.65,2.95,2284.2,799.9,107.9,4029.3,0.3502,14.368,2.07,0.028,7.0599,1.432,0.017449,83.0,73.95,9.05,BEST
SRG,33.91,3,-6.8,111.52,6.8,1786.5,590.8,145.4,3284.8,0.3307,18.3,1.25,0.0149,7.2701,1.2217,0.014911,65.0,83.65,18.65,BEST
KPY,34.56,4,-3.68,102.58,3.68,2472.8,886.0,19.6,4258.1,0.3583,15.041,0.81,0.0086,6.9317,1.5602,0.018045,83.0,94.7,11.7,BEST
LPS,39.51,5,-6.79,111.49,6.79,1788.4,591.5,146.1,3288.0,0.3308,18.29,2.14,0.0243,7.269,1.2228,0.014925,65.0,88.19,23.19,BEST
SCN,41.68,6,-6.12,106.58,6.12,2155.1,757.6,22.9,3822.7,0.3515,17.578,0.94,0.0088,7.0641,1.4278,0.016761,74.0,106.77,32.77,BEST
LWA,43.87,7,-6.32,106.75,6.32,2145.4,752.8,29.9,3805.3,0.3509,17.781,3.72,0.0431,7.0585,1.4334,0.016714,74.0,86.37,12.37,BEST
ALR,48.65,8,-8.14,124.59,8.14,1233.7,673.7,29.4,3536.0,0.5461,19.341,3.1,0.0965,7.6892,0.8026,0.011662,11.0,32.11,21.11,MID
CLP,49.33,9,-1.01,103.62,1.01,2381.2,817.7,235.8,4152.8,0.3434,12.401,5.12,0.0995,7.0265,1.4654,0.017866,88.0,51.47,36.53,MID
SBG,52.05,10,-4.14,114.33,4.14,1528.2,477.6,282.3,2955.2,0.3126,15.626,0.96,0.0094,7.4576,1.0343,0.013769,67.0,102.24,35.24,MID
GTO,57.6,11,-0.2,100.31,0.2,2692.0,934.9,18.7,4526.3,0.3473,11.481,0.79,0.0054,6.88,1.6118,0.018686,91.0,145.98,54.98,MID
YOG,58.37,12,-7.78,110.36,7.78,1902.3,642.1,19.3,3424.3,0.3376,19.278,3.68,0.049,7.1603,1.3315,0.015453,65.0,75.03,10.03,MID
SRO,74.7,13,-0.86,131.26,0.86,1134.6,949.8,55.6,4032.3,0.8371,11.683,2.79,0.0146,7.7497,0.7422,0.009915,290.0,191.35,98.65,MID
LWK,80.71,14,-1.95,130.25,1.95,1074.3,921.2,98.4,3942.4,0.8574,12.84,1.23,0.007,7.9297,0.5621,0.008771,310.0,174.66,135.34,MID
TNT,82.11,15,-6.17,106.63,6.17,2152.0,756.1,22.1,3817.5,0.3514,17.628,5.03,0.0321,7.0634,1.4284,0.016748,74.0,156.86,82.86,MID
TRD,83.26,16,-6.89,107.61,6.89,2089.3,725.2,70.0,3715.5,0.3471,18.364,1.97,0.0133,7.0635,1.4284,0.016436,71.0,148.2,77.2,MID
PLU,84.69,17,-6.89,110.42,6.89,1870.3,626.6,112.1,3406.6,0.3351,18.388,0.75,0.0056,7.2127,1.2792,0.015368,67.0,132.96,65.96,WORST
SMI,96.76,18,-6.31,106.74,6.31,2146.0,753.1,28.8,3806.4,0.3509,17.77,0.95,0.0028,7.0587,1.4332,0.016718,74.0,338.26,95.74,WORST
MLB,110.02,19,-1.48,127.48,1.48,947.0,860.7,43.5,3630.2,0.9089,12.536,0.82,0.0075,8.2011,0.2908,0.008005,343.0,109.87,126.87,WORST
AMB,122.04,20,-3.68,128.18,3.68,1024.3,844.3,55.5,3758.7,0.8243,14.696,3.77,0.0288,8.1169,0.375,0.009622,343.0,130.82,147.82,WORST
LUT,124.9,21,-2.54,140.65,2.54,1972.6,1083.9,5.4,5092.3,0.5495,12.583,6.09,0.1579,6.6097,1.8822,0.016522,280.0,38.58,118.58,WORST
